banos,dormitorios,garajes,gastos_comunes,m2_del_terreno,m2_edificados,price,vivienda_social,disposición_frente,estado_rec_exc,zona_cat_1,zona_cat_2,zona_cat_3
3.0,3.0,2.0,15000.0,110.0,110.0,450000.0,0.0,1,1,0,0,1
1.0,2.0,0.0,0.0,63.0,63.0,122500.0,0.0,1,0,0,1,0
2.0,2.0,1.0,0.0,65.0,65.0,229000.0,0.0,0,0,0,0,1
2.0,2.0,2.0,1.0,153.0,153.0,536000.0,0.0,0,1,0,0,1
1.0,2.0,1.0,4400.0,43.0,43.0,181200.0,0.0,0,1,0,0,1
3.0,3.0,3.0,0.0,220.0,140.0,350000.0,0.0,1,0,0,0,1
1.0,1.0,0.0,2500.0,30.0,30.0,99000.0,0.0,0,1,0,0,1
2.0,3.0,1.0,14500.0,90.0,90.0,258000.0,0.0,1,0,0,0,1
1.0,2.0,0.0,4640.0,50.0,50.0,164500.0,0.0,1,0,0,1,0
3.0,4.0,1.0,0.0,272.0,212.0,385000.0,0.0,1,0,0,1,0
2.0,2.0,2.0,0.0,530.0,145.0,208000.0,0.0,1,0,0,1,0
2.0,3.0,2.0,0.0,580.0,207.0,520000.0,0.0,1,0,0,0,1
2.0,2.0,1.0,7.0,72.0,72.0,220000.0,0.0,0,1,0,0,1
2.0,2.0,0.0,5500.0,61.0,61.0,220000.0,0.0,1,1,0,0,1
2.0,4.0,0.0,0.0,227.0,86.0,160000.0,0.0,1,0,0,1,0
2.0,3.0,1.0,0.0,590.0,207.0,520000.0,0.0,1,1,0,0,1
2.0,3.0,1.0,0.0,98.0,98.0,330000.0,0.0,1,1,0,0,1
1.0,3.0,0.0,3000.0,84.0,84.0,145000.0,0.0,1,0,0,1,0
3.0,3.0,1.0,19000.0,135.0,135.0,330000.0,0.0,1,0,0,0,1
3.0,2.0,2.0,20300.0,181.0,127.0,420000.0,0.0,1,0,0,0,1
2.0,3.0,0.0,8500.0,91.0,91.0,220000.0,0.0,1,0,0,0,1
2.0,2.0,0.0,0.0,70.0,70.0,256500.0,0.0,1,0,0,0,1
1.0,2.0,0.0,0.0,52.0,52.0,146800.0,0.0,1,0,0,1,0
3.0,3.0,2.0,20000.0,147.0,147.0,690000.0,0.0,0,1,0,0,1
2.0,3.0,0.0,0.0,210.0,130.0,258000.0,0.0,1,0,0,1,0
2.0,2.0,1.0,6164.0,80.0,80.0,245000.0,0.0,1,1,0,0,1
2.0,2.0,2.0,17000.0,124.0,124.0,415000.0,0.0,1,1,0,0,1
1.0,3.0,1.0,0.0,554.0,79.0,120000.0,0.0,1,0,1,0,0
1.0,2.0,1.0,0.0,128.0,156.0,330000.0,0.0,1,0,0,0,1
1.0,2.0,0.0,1720.0,58.0,58.0,135000.0,0.0,1,1,0,1,0
1.0,2.0,0.0,2000.0,50.0,50.0,95000.0,0.0,1,1,0,1,0
2.0,2.0,0.0,6090.0,47.0,47.0,164000.0,0.0,1,1,0,0,1
2.0,3.0,1.0,5800.0,78.0,78.0,180000.0,1.0,1,1,0,0,1
1.0,1.0,1.0,1.0,55.0,55.0,168000.0,0.0,0,0,0,0,1
2.0,2.0,1.0,5700.0,57.0,57.0,210000.0,0.0,0,1,0,0,1
3.0,4.0,2.0,0.0,250.0,200.0,650000.0,0.0,0,0,0,0,1
1.0,2.0,0.0,0.0,60.0,60.0,157300.0,1.0,0,0,0,1,0
1.0,0.0,1.0,1.0,39.0,39.0,116000.0,0.0,0,0,0,0,1
1.0,3.0,0.0,0.0,62.0,62.0,80000.0,0.0,0,0,0,1,0
1.0,2.0,0.0,0.0,339.0,105.0,180000.0,0.0,1,0,0,1,0
2.0,3.0,0.0,3700.0,70.0,70.0,125000.0,1.0,1,0,0,1,0
